y,proba,pli
0,0.0859392281077498,1
0,0.3365483750864539,1
1,0.2552722153906716,1
0,0.20382862607595303,1
0,0.3367905401996741,1
0,0.21713438059411594,1
1,0.3272523651409468,1
0,0.3225263337492994,1
0,0.31537373623836595,1
0,0.4321792367274153,1
0,0.3077639026697779,1
0,0.3449786667558922,1
0,0.19196432443788886,1
0,0.19505329056130283,1
1,0.5661025606839427,1
0,0.20879988033460667,1
0,0.2213334641472719,1
0,0.15547986083486212,1
0,0.2727491991704253,1
0,0.11601258735118072,1
1,0.26976121823470645,1
1,0.3126440030592325,1
0,0.056963036975215,1
1,0.4365095525372156,1
0,0.24720331994503855,1
1,0.16607950997607213,1
0,0.2323970450016845,1
1,0.3823572105712791,1
0,0.49427648569691973,1
1,0.29564908083590513,1
0,0.3332901983139769,1
1,0.4247987619334104,1
0,0.17898053519469004,1
0,0.19821221662043848,1
0,0.39201828928813276,1
0,0.5023238068222938,1
0,0.4478746438897425,1
0,0.3279338611444531,1
0,0.2913020516059474,1
0,0.28910373147196755,1
0,0.1857146977844313,1
0,0.3438069933788458,1
1,0.4624828265929587,1
1,0.6293490848125635,1
1,0.28125239359790166,1
0,0.08079409122466248,1
1,0.2172794634425898,1
0,0.08329579954861874,1
0,0.3261110113176607,1
1,0.08768848448385028,1
1,0.4804886250753115,1
0,0.14981962005509514,1
0,0.27090015271285073,1
0,0.08603353513078944,1
0,0.5568422239248308,1
0,0.08526458315554146,1
0,0.6332584310314792,1
0,0.40743975577795755,1
0,0.1263154307260834,1
0,0.07866387428127358,1
1,0.31603979991506587,1
0,0.15203303909954335,1
0,0.4474986317509333,1
1,0.5155617353159228,1
0,0.07099114161478212,1
0,0.5673702657417714,1
0,0.1535602348966369,1
1,0.6013892548251102,1
0,0.21592312931831356,1
1,0.4865430325101092,1
0,0.07757679622155646,1
1,0.26026998143496916,1
0,0.16889913993712163,1
0,0.1351660188153035,1
0,0.21393091804040787,1
0,0.3064031628435475,1
0,0.45815267837802887,1
0,0.21976910202644961,1
0,0.1894908139304282,1
1,0.398598394132107,1
0,0.3686190310698931,1
0,0.24160464246582258,1
0,0.08702690531171217,1
0,0.07606849198255977,1
0,0.260254972703578,1
0,0.14457406108412213,1
0,0.4180709849844648,1
0,0.05796029650060243,1
0,0.06904955756351433,1
1,0.5741653297059799,1
0,0.13730808800616817,1
0,0.3093231154141134,1
0,0.2045961337172705,1
1,0.4940762775666653,1
1,0.09251897950364668,1
0,0.4009718547926304,1
0,0.263377518049709,1
0,0.4586700717375295,1
1,0.3491714673743608,1
0,0.20616262819527448,1
1,0.21751250236158848,1
0,0.13597593148852327,1
0,0.162430729144026,1
0,0.36864793503917176,1
1,0.44351868418019996,1
0,0.07186727330780035,1
0,0.1695233905956674,1
0,0.7353089781620537,1
0,0.15639239935658647,1
0,0.2660682506271257,1
0,0.5074991192103191,1
0,0.2854568059384419,1
1,0.5876211046027502,1
0,0.2623463594578156,1
0,0.2764333430438024,1
0,0.32141908250142537,1
0,0.25580224471176094,1
0,0.41917110686411974,1
0,0.5815318186467477,1
1,0.45602816950619884,1
0,0.17595775593535473,1
0,0.12892707460057357,1
0,0.16106207432075592,1
1,0.2248124214552585,1
1,0.6159829442674722,1
1,0.2789706290724949,1
0,0.4945510251182249,1
0,0.2232661860714279,1
1,0.3568581940575918,1
0,0.10800485986869426,1
0,0.20489524675278847,1
0,0.3044314739891537,1
0,0.08327638815416111,1
0,0.19664553314883157,1
0,0.190627604284422,1
0,0.4492628917325424,1
0,0.44057124267235814,1
0,0.243914267551134,1
1,0.4838587099565391,1
0,0.10698157776942273,1
0,0.2054887786093659,1
0,0.5253205767194113,1
1,0.3460086508684067,1
0,0.0801282030453511,1
0,0.13950027029226855,1
0,0.2613884321215123,1
0,0.18003526693510777,1
1,0.6099710947303131,1
0,0.45044072435741417,1
1,0.18162412635379221,1
0,0.37627424444214563,1
0,0.39902844115837705,1
1,0.3915103762583277,1
1,0.3410414733425198,1
1,0.19358949622925134,1
1,0.3568926220668459,1
0,0.2184415946129108,1
0,0.076215434826002,1
0,0.4110698152049944,1
0,0.049303358587739106,1
1,0.2379560881104083,1
0,0.17636033455244077,1
0,0.32642310696499954,1
0,0.4046116558849208,1
0,0.6780678121979699,1
0,0.07970988781925287,1
0,0.2943796541381647,1
0,0.265698263111365,1
0,0.12121195089377877,1
1,0.21775593279220135,1
0,0.21771581490696426,1
0,0.5798937738467946,1
0,0.1201011159428378,1
1,0.4746106689719525,1
0,0.21237490565181194,1
0,0.07322387875127931,1
0,0.38054525745257517,1
1,0.47115807481716315,1
0,0.11313457836699393,1
0,0.18228005655048563,1
0,0.3333083965853444,1
0,0.10779370503961555,1
0,0.095761558138248,1
0,0.13588563064024392,1
0,0.24683656204286208,1
0,0.1825104736791605,1
0,0.15657593936326886,1
1,0.1761702888251958,1
0,0.20050180823124464,1
0,0.1275313928958553,1
0,0.3425217390727545,1
0,0.32320378292709584,1
0,0.18161972831160925,1
1,0.23010762872269785,1
0,0.3572641276183651,1
1,0.49817093571327725,1
0,0.3796342791558641,1
1,0.08955158391238396,1
0,0.25220061866777227,1
1,0.1476003189588851,1
0,0.25594045873205823,1
1,0.4133461511939929,1
0,0.1409272193401423,1
0,0.0818894801477831,1
0,0.10108561336616557,1
0,0.28207414808841746,1
1,0.3526228891341754,1
0,0.23518118955273093,1
0,0.2683267404812688,1
0,0.20526439385306583,1
1,0.17729122485491539,1
1,0.6414306394022165,1
0,0.2618201145794878,1
0,0.11641052248916409,1
0,0.19266415887338298,1
0,0.2225393338856354,1
0,0.3905128454026298,1
1,0.3362579457831477,1
1,0.609992766551641,1
0,0.13859605040862338,1
0,0.14372147125296927,1
0,0.4155239757080307,1
0,0.12365141019545274,1
0,0.23264940741372533,1
0,0.43397523730932736,1
0,0.44367927964622444,1
0,0.24776737902709162,1
0,0.077316035677477,1
0,0.4707264060980935,1
0,0.11919879967741547,1
1,0.2728235958395989,1
1,0.3250841299137739,1
0,0.29374089131373315,1
0,0.08239337252457045,1
0,0.17650507047439093,1
1,0.4922321316428556,1
1,0.12802126353211646,1
0,0.09887931795950144,1
0,0.32809978997701505,1
0,0.31835710589302874,1
1,0.14779878335940708,1
0,0.359924525813365,1
1,0.2776548283668221,1
0,0.4829612108072618,1
0,0.11154376800236125,1
1,0.09392878080943942,1
0,0.37454219899981545,1
0,0.21216907403517588,1
0,0.30747108165420106,1
1,0.3245956980386483,1
0,0.10798006662745645,1
0,0.12877733007857206,1
